,Average_salary,Title,Seniority,Rating,Hourly,Employer_provided,Company_age,Industry,Sector,Type of ownership,Size,State
1352,128.0,data scientist,senior,3.4,0,,16,Lending,Finance,Company - Public,1001 to 5000 employees,AZ
1353,128.0,data scientist,senior,4.0,0,,64,Automotive Parts & Accessories Stores,Retail,Company - Private,10000+ employees,AZ
1354,128.0,data scientist,senior,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,AZ
1355,128.0,data scientist,senior,3.2,0,,49,Investment Banking & Asset Management,Finance,Company - Private,10000+ employees,AZ
1356,128.0,other,other,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1357,128.0,data scientist,senior,3.6,0,,63,Insurance Carriers,Insurance,Company - Public,10000+ employees,AZ
1358,128.0,analyst,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1359,128.0,other,other,3.5,0,,57,Consulting,Business Services,Company - Public,1001 to 5000 employees,AZ
1360,75.0,analyst,other,3.6,0,,32,Staffing & Outsourcing,Business Services,Company - Public,501 to 1000 employees,AZ
1361,75.0,other,other,2.9,0,,-1,Research & Development,Business Services,Company - Private,201 to 500 employees,AZ
1362,75.0,data engineer,other,4.0,0,,64,Automotive Parts & Accessories Stores,Retail,Company - Private,10000+ employees,AZ
1363,75.0,analyst,senior,3.1,0,,160,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1364,75.0,manager,senior,3.6,0,,25,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,10000+ employees,AZ
1365,75.0,data scientist,senior,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,AZ
1366,75.0,data engineer,other,3.8,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1367,75.0,data scientist,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1368,75.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1369,75.0,data engineer,other,3.9,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1370,75.0,analyst,other,3.5,0,,76,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1371,75.0,data scientist,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1372,75.0,analyst,other,2.9,0,,-1,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1373,75.0,data engineer,senior,4.8,0,,13,IT Services,Information Technology,Company - Public,1001 to 5000 employees,AZ
1374,75.0,analyst,other,3.0,0,,21,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1375,75.0,analyst,other,3.2,0,,-1,Enterprise Software & Network Solutions,Information Technology,Company - Private,1 to 50 employees,AZ
1376,75.0,analyst,senior,4.0,0,,64,Automotive Parts & Accessories Stores,Retail,Company - Private,10000+ employees,AZ
1377,75.0,data scientist,senior,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,AZ
1378,75.0,other,other,-1.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1379,75.0,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1380,75.0,machine learning engineer,other,3.9,0,,15,"Department, Clothing, & Shoe Stores",Retail,Company - Private,1001 to 5000 employees,AZ
1381,75.0,other,other,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,AZ
1382,75.0,other,other,4.6,0,,32,Consulting,Business Services,Company - Private,201 to 500 employees,AZ
1383,75.0,data scientist,other,4.0,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1384,75.0,analyst,other,4.9,0,,19,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,AZ
1385,75.0,data engineer,other,4.9,0,,8,Advertising & Marketing,Business Services,Company - Private,1 to 50 employees,AZ
1386,75.0,other,other,3.9,0,,177,Health Care Services & Hospitals,Health Care,Company - Public,10000+ employees,AZ
1387,75.0,other,senior,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,AZ
1388,75.0,data scientist,other,4.0,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1389,63.0,analyst,other,4.4,0,,-1,IT Services,Information Technology,Company - Private,1 to 50 employees,AZ
1390,63.0,analyst,other,2.9,0,,39,Banks & Credit Unions,Finance,Company - Public,1001 to 5000 employees,AZ
1391,63.0,machine learning engineer,other,4.0,0,,56,Computer Hardware & Software,Information Technology,Company - Public,10000+ employees,AZ
1392,63.0,other,other,3.7,0,,27,IT Services,Information Technology,Company - Private,1001 to 5000 employees,AZ
1393,63.0,analyst,other,3.8,0,,17,Health Care Services & Hospitals,Health Care,Nonprofit Organization,51 to 200 employees,AZ
1394,63.0,data engineer,other,4.0,0,,12,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1395,63.0,data engineer,senior,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1396,63.0,analyst,other,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,AZ
1397,63.0,data engineer,other,2.9,0,,22,Food & Beverage Stores,Retail,Company - Public,10000+ employees,AZ
1398,63.0,other,other,3.6,0,,36,Legal,Accounting & Legal,Company - Private,5001 to 10000 employees,AZ
1399,63.0,data engineer,senior,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1400,63.0,analyst,other,-1.0,0,,-1,-1,-1,Company - Private,-1,AZ
1401,63.0,analyst,junior,5.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1402,63.0,data engineer,other,4.7,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1403,63.0,data scientist,other,3.8,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1404,63.0,other,other,3.4,0,,37,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,10000+ employees,AZ
1405,63.0,analyst,other,-1.0,0,,-1,Enterprise Software & Network Solutions,Information Technology,Company - Private,1 to 50 employees,AZ
1406,63.0,analyst,other,3.2,0,,85,Banks & Credit Unions,Finance,Company - Public,1001 to 5000 employees,AZ
1407,63.0,other,other,2.9,0,,-1,Research & Development,Business Services,Company - Private,201 to 500 employees,AZ
1408,63.0,other,other,3.1,0,,48,Colleges & Universities,Education,College / University,1001 to 5000 employees,AZ
1409,63.0,manager,senior,3.7,0,,12,Insurance Agencies & Brokerages,Insurance,Company - Private,1001 to 5000 employees,AZ
1410,63.0,analyst,other,-1.0,0,,-1,-1,-1,Company - Private,-1,AZ
1411,63.0,analyst,senior,4.0,0,,28,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1412,63.0,data scientist,other,4.3,0,,18,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1413,63.0,analyst,other,3.0,0,,21,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1414,63.0,other,other,2.9,0,,61,Health Care Services & Hospitals,Health Care,Company - Public,10000+ employees,AZ
1415,63.0,data scientist,senior,3.4,0,,26,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,AZ
1416,63.0,analyst,other,3.8,0,,-1,Consulting,Business Services,Company - Private,51 to 200 employees,AZ
1417,63.0,analyst,other,2.5,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1418,118.0,manager,senior,3.9,0,,26,Internet,Information Technology,Company - Public,10000+ employees,AZ
1419,118.0,other,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1420,118.0,analyst,other,3.1,0,,67,Automotive Parts & Accessories Stores,Retail,Company - Public,10000+ employees,AZ
1421,118.0,other,other,2.9,0,,-1,Research & Development,Business Services,Company - Private,201 to 500 employees,AZ
1422,118.0,data engineer,other,3.2,0,,14,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1423,118.0,data scientist,other,4.3,0,,18,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1424,118.0,data scientist,other,2.9,0,,73,Gas Stations,Retail,Company - Public,10000+ employees,AZ
1425,118.0,analyst,other,2.5,0,,28,Health Care Services & Hospitals,Health Care,Company - Private,1001 to 5000 employees,AZ
1426,118.0,manager,senior,3.2,0,,38,Pet & Pet Supplies Stores,Retail,Company - Private,10000+ employees,AZ
1427,118.0,data engineer,other,4.6,0,,-1,-1,-1,Company - Public,1 to 50 employees,AZ
1428,118.0,data engineer,other,5.0,0,,6,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1429,118.0,other,senior,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1430,118.0,other,other,3.5,0,,59,Architectural & Engineering Services,Business Services,Company - Private,1001 to 5000 employees,AZ
1431,118.0,other,other,3.8,0,,249,Federal Agencies,Government,Government,1001 to 5000 employees,AZ
1432,118.0,analyst,other,4.5,0,,38,Staffing & Outsourcing,Business Services,Company - Public,1001 to 5000 employees,AZ
1433,118.0,analyst,other,4.0,0,,20,Health Care Services & Hospitals,Health Care,Company - Private,201 to 500 employees,AZ
1434,118.0,data engineer,other,3.6,0,,99,-1,-1,Company - Private,10000+ employees,AZ
1435,118.0,data scientist,senior,4.2,0,,14,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1436,118.0,data engineer,other,4.3,0,,-1,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,AZ
1437,118.0,other,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,AZ
1438,118.0,analyst,other,4.3,0,,-1,-1,-1,Company - Private,501 to 1000 employees,AZ
1439,118.0,data scientist,other,4.3,0,,18,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1440,118.0,data engineer,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1441,118.0,data engineer,senior,4.8,0,,13,IT Services,Information Technology,Company - Public,1001 to 5000 employees,AZ
1442,118.0,analyst,other,2.8,0,,36,IT Services,Information Technology,Company - Private,51 to 200 employees,AZ
1443,118.0,other,other,3.9,0,,41,Health Care Services & Hospitals,Health Care,Nonprofit Organization,1001 to 5000 employees,AZ
1444,118.0,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1445,118.0,data scientist,other,3.5,0,,26,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1446,118.0,data engineer,other,3.3,0,,58,Trucking,Transportation & Logistics,Company - Public,10000+ employees,AZ
1447,118.0,analyst,other,4.5,0,,20,Consulting,Business Services,Company - Private,51 to 200 employees,AZ
1448,80.5,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1449,80.5,other,other,3.4,0,,6,Consulting,Business Services,Company - Private,5001 to 10000 employees,AZ
1450,80.5,data scientist,other,4.2,0,,14,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1451,80.5,other,other,4.0,0,,-1,Accounting,Accounting & Legal,Company - Private,1 to 50 employees,AZ
1452,80.5,other,other,3.8,0,,249,Federal Agencies,Government,Government,1001 to 5000 employees,AZ
1453,80.5,other,other,3.2,0,,87,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,10000+ employees,AZ
1454,80.5,other,other,5.0,0,,6,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1455,80.5,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1456,80.5,data engineer,other,3.5,0,,41,Banks & Credit Unions,Finance,Company - Public,1001 to 5000 employees,AZ
1457,80.5,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1458,80.5,analyst,other,3.0,0,,19,Health Care Services & Hospitals,Health Care,Company - Private,10000+ employees,AZ
1459,80.5,data engineer,other,3.4,0,,-1,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,AZ
1460,80.5,data scientist,senior,2.9,0,,73,Gas Stations,Retail,Company - Public,10000+ employees,AZ
1461,80.5,data scientist,other,-1.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1462,80.5,other,other,2.7,0,,39,Architectural & Engineering Services,Business Services,Company - Private,501 to 1000 employees,AZ
1463,80.5,data engineer,other,3.6,0,,34,IT Services,Information Technology,Company - Private,1001 to 5000 employees,AZ
1464,80.5,data engineer,other,5.0,0,,-1,-1,-1,Company - Private,51 to 200 employees,AZ
1465,80.5,analyst,other,4.4,0,,-1,IT Services,Information Technology,Company - Private,1 to 50 employees,AZ
1466,80.5,data scientist,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1467,80.5,data engineer,other,4.1,0,,58,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1468,80.5,data engineer,other,3.6,0,,34,IT Services,Information Technology,Company - Private,1001 to 5000 employees,AZ
1469,80.5,analyst,other,-1.0,0,,-1,-1,-1,Company - Private,51 to 200 employees,AZ
1470,80.5,analyst,senior,-1.0,0,,-1,Construction,"Construction, Repair & Maintenance",Company - Private,51 to 200 employees,AZ
1471,80.5,analyst,other,4.5,0,,20,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1472,80.5,data engineer,other,1.6,0,,-1,Advertising & Marketing,Business Services,Company - Public,1 to 50 employees,AZ
1473,80.5,analyst,other,3.2,0,,49,Investment Banking & Asset Management,Finance,Company - Private,10000+ employees,AZ
1474,80.5,manager,senior,3.7,0,,5,Internet,Information Technology,Company - Public,1001 to 5000 employees,AZ
1475,80.5,data engineer,other,4.1,0,,25,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1476,80.5,data engineer,other,4.1,0,,28,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1477,80.5,data engineer,junior,3.2,0,,17,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1478,60.0,analyst,other,3.6,0,,-1,-1,-1,Company - Private,10000+ employees,AZ
1479,60.0,data engineer,other,3.6,0,,34,IT Services,Information Technology,Company - Private,1001 to 5000 employees,AZ
1480,60.0,other,other,3.0,0,,27,Health Care Services & Hospitals,Health Care,Company - Private,1001 to 5000 employees,AZ
1481,60.0,manager,senior,4.1,0,,58,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1482,60.0,machine learning engineer,other,4.9,0,,24,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,AZ
1483,60.0,analyst,other,4.2,0,,-1,Accounting,Accounting & Legal,Company - Private,201 to 500 employees,AZ
1484,60.0,data engineer,other,4.3,0,,-1,IT Services,Information Technology,Contract,1 to 50 employees,AZ
1485,60.0,data engineer,other,4.0,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1486,60.0,other,other,3.0,0,,27,Health Care Services & Hospitals,Health Care,Company - Private,1001 to 5000 employees,AZ
1487,60.0,other,other,4.2,0,,77,Federal Agencies,Government,Government,10000+ employees,AZ
1488,60.0,analyst,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1489,60.0,other,senior,3.5,0,,57,Consulting,Business Services,Company - Public,1001 to 5000 employees,AZ
1490,60.0,analyst,other,3.5,0,,54,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1491,60.0,analyst,senior,5.0,0,,6,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1492,60.0,data engineer,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,AZ
1493,60.0,analyst,senior,3.4,0,,102,Food & Beverage Manufacturing,Manufacturing,Company - Private,1001 to 5000 employees,AZ
1494,60.0,analyst,other,3.1,0,,160,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1495,60.0,data engineer,other,4.1,0,,25,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,AZ
1496,60.0,data engineer,senior,3.9,0,,15,"Department, Clothing, & Shoe Stores",Retail,Company - Private,1001 to 5000 employees,AZ
1497,60.0,other,senior,4.6,0,,10,Transportation Equipment Manufacturing,Manufacturing,Company - Public,201 to 500 employees,AZ
1498,60.0,data engineer,other,3.4,0,,38,"Cable, Internet & Telephone Providers",Telecommunications,Company - Public,1001 to 5000 employees,AZ
1499,60.0,data engineer,other,3.4,0,,93,Insurance Agencies & Brokerages,Insurance,Company - Public,10000+ employees,AZ
1500,60.0,manager,senior,-1.0,0,,-1,-1,-1,-1,-1,AZ
1501,60.0,manager,senior,3.6,0,,67,Health Care Services & Hospitals,Health Care,Nonprofit Organization,501 to 1000 employees,AZ
1502,60.0,data engineer,other,4.8,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1503,60.0,data engineer,senior,3.7,0,,33,Computer Hardware & Software,Information Technology,Company - Public,1001 to 5000 employees,AZ
1504,60.0,analyst,senior,3.6,0,,-1,Consulting,Business Services,Company - Private,51 to 200 employees,AZ
1505,60.0,analyst,senior,4.1,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1506,60.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1507,60.0,data engineer,other,4.0,0,,25,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1508,120.0,data engineer,other,3.5,0,,41,Banks & Credit Unions,Finance,Company - Public,1001 to 5000 employees,AZ
1509,120.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1510,120.0,data engineer,other,3.5,0,,54,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1511,120.0,other,other,3.1,0,,55,State & Regional Agencies,Government,Government,1001 to 5000 employees,AZ
1512,120.0,analyst,senior,3.4,0,,26,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,AZ
1513,120.0,data engineer,other,3.8,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1514,120.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1515,120.0,analyst,other,4.1,0,,17,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,AZ
1516,120.0,data engineer,other,5.0,0,,6,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1517,120.0,data engineer,senior,4.0,0,,64,Automotive Parts & Accessories Stores,Retail,Company - Private,10000+ employees,AZ
1518,120.0,data engineer,other,5.0,0,,6,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1519,120.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1520,120.0,data engineer,other,4.0,0,,-1,IT Services,Information Technology,Company - Private,51 to 200 employees,AZ
1521,120.0,analyst,other,4.3,0,,21,Consulting,Business Services,Company - Private,201 to 500 employees,AZ
1522,120.0,analyst,senior,-1.0,0,,-1,-1,-1,-1,-1,AZ
1523,120.0,data engineer,other,3.2,0,,17,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1524,120.0,analyst,other,4.0,0,,24,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,AZ
1525,120.0,data engineer,other,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1526,120.0,data engineer,other,4.0,0,,25,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1527,120.0,analyst,other,4.1,0,,58,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1528,120.0,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1529,120.0,manager,senior,-1.0,0,,-1,-1,-1,Company - Private,51 to 200 employees,AZ
1530,120.0,data engineer,senior,3.8,0,,9,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ employees,AZ
1531,120.0,data engineer,senior,4.2,0,,22,Computer Hardware & Software,Information Technology,Company - Private,1 to 50 employees,AZ
1532,120.0,other,other,4.0,0,,181,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,10000+ employees,AZ
1533,120.0,data engineer,senior,-1.0,0,,-1,-1,-1,-1,-1,AZ
1534,120.0,analyst,senior,-1.0,0,,-1,-1,-1,-1,-1,AZ
1535,120.0,analyst,senior,-1.0,0,,-1,-1,-1,-1,-1,AZ
1536,120.0,data engineer,senior,4.1,0,,58,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1537,120.0,data engineer,other,4.0,0,,-1,Accounting,Accounting & Legal,Company - Private,1 to 50 employees,AZ
1538,104.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1539,104.0,data engineer,other,3.7,0,,20,Advertising & Marketing,Business Services,Company - Private,51 to 200 employees,AZ
1540,104.0,data engineer,other,-1.0,0,,-1,-1,-1,-1,-1,AZ
1541,104.0,analyst,other,-1.0,0,,-1,-1,-1,Company - Private,-1,AZ
1542,104.0,data engineer,other,2.9,0,,-1,-1,-1,Company - Public,-1,AZ
1543,104.0,analyst,other,3.6,0,,27,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1544,104.0,data engineer,senior,3.8,0,,24,K-12 Education,Education,Company - Private,51 to 200 employees,AZ
1545,104.0,other,senior,3.7,0,,18,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,10000+ employees,AZ
1546,104.0,data engineer,other,-1.0,0,,-1,-1,-1,Company - Private,-1,AZ
1547,104.0,analyst,other,3.7,0,,70,Architectural & Engineering Services,Business Services,Company - Public,10000+ employees,AZ
1548,104.0,data engineer,senior,3.6,0,,34,IT Services,Information Technology,Company - Private,1001 to 5000 employees,AZ
1549,104.0,data engineer,other,2.9,0,,73,Gas Stations,Retail,Company - Public,10000+ employees,AZ
1550,104.0,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1551,104.0,other,other,2.5,0,,23,Health Care Services & Hospitals,Health Care,Company - Private,1001 to 5000 employees,AZ
1552,104.0,data engineer,other,3.7,0,,33,Computer Hardware & Software,Information Technology,Company - Private,1001 to 5000 employees,AZ
1553,104.0,data scientist,senior,3.4,0,,93,Insurance Agencies & Brokerages,Insurance,Company - Public,10000+ employees,AZ
1554,104.0,data engineer,senior,3.1,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1555,104.0,other,senior,3.6,0,,63,Insurance Carriers,Insurance,Company - Public,10000+ employees,AZ
1556,104.0,data scientist,other,3.7,0,,22,Vehicle Dealers,Retail,Company - Private,5001 to 10000 employees,AZ
1557,104.0,analyst,other,3.6,0,,28,Staffing & Outsourcing,Business Services,Company - Private,501 to 1000 employees,AZ
1558,104.0,data engineer,senior,3.2,0,,-1,IT Services,Information Technology,Company - Private,1 to 50 employees,AZ
1559,92.5,data engineer,other,3.8,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1560,92.5,data engineer,senior,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1561,92.5,other,senior,3.6,0,,172,Banks & Credit Unions,Finance,Company - Public,10000+ employees,AZ
1562,92.5,data engineer,senior,3.1,0,,79,Truck Rental & Leasing,Transportation & Logistics,Company - Public,10000+ employees,AZ
1563,92.5,data engineer,senior,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1564,92.5,data engineer,other,3.4,0,,38,"Cable, Internet & Telephone Providers",Telecommunications,Company - Public,1001 to 5000 employees,AZ
1565,92.5,data engineer,senior,3.9,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1566,92.5,analyst,other,3.8,0,,28,Computer Hardware & Software,Information Technology,Company - Private,51 to 200 employees,AZ
1567,92.5,data engineer,senior,3.2,0,,14,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1568,92.5,data engineer,senior,3.5,0,,26,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1569,92.5,other,other,4.1,0,,33,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,AZ
1570,92.5,data engineer,senior,4.4,0,,21,IT Services,Information Technology,Company - Private,201 to 500 employees,AZ
1571,92.5,data engineer,other,3.1,0,,-1,IT Services,Information Technology,Company - Public,1 to 50 employees,AZ
1572,92.5,data engineer,other,4.0,0,,-1,Accounting,Accounting & Legal,Company - Private,1 to 50 employees,AZ
1573,92.5,data scientist,senior,1.0,0,,-1,Insurance Agencies & Brokerages,Insurance,Company - Private,1 to 50 employees,AZ
1574,92.5,data engineer,other,3.9,0,,35,Consulting,Business Services,Company - Public,10000+ employees,AZ
1575,92.5,data engineer,senior,3.5,0,,8,Consulting,Business Services,Company - Public,10000+ employees,AZ
1576,92.5,data engineer,senior,-1.0,0,,-1,-1,-1,Company - Private,51 to 200 employees,AZ
1577,92.5,other,other,5.0,0,,-1,-1,-1,-1,-1,AZ
1578,92.5,data engineer,other,4.1,0,,58,Staffing & Outsourcing,Business Services,Company - Public,10000+ employees,AZ
1579,92.5,data engineer,senior,3.8,0,,19,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1580,92.5,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1581,92.5,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1582,92.5,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1583,92.5,data engineer,senior,4.4,0,,9,IT Services,Information Technology,Company - Private,51 to 200 employees,AZ
1584,92.5,data engineer,senior,3.6,0,,28,Staffing & Outsourcing,Business Services,Company - Private,501 to 1000 employees,AZ
1585,92.5,data engineer,senior,3.2,0,,17,Staffing & Outsourcing,Business Services,Company - Private,1001 to 5000 employees,AZ
1586,92.5,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1587,136.0,data engineer,senior,3.9,0,,174,Accounting,Accounting & Legal,Company - Private,10000+ employees,AZ
1588,136.0,data engineer,other,3.9,0,,174,Accounting,Accounting & Legal,Company - Private,10000+ employees,AZ
1589,136.0,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1590,136.0,data engineer,senior,3.8,0,,22,IT Services,Information Technology,Company - Private,501 to 1000 employees,AZ
1591,136.0,data scientist,other,4.2,0,,17,Internet,Information Technology,Company - Private,201 to 500 employees,AZ
1592,136.0,data engineer,senior,3.1,0,,-1,-1,-1,Company - Private,1 to 50 employees,AZ
1593,122.0,data scientist,other,4.0,0,,111,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,10000+ employees,DE
1594,122.0,data scientist,senior,4.2,0,,25,Staffing & Outsourcing,Business Services,Subsidiary or Business Segment,201 to 500 employees,PA
1595,122.0,analyst,other,4.6,0,,22,Financial Analytics & Research,Finance,Company - Private,51 to 200 employees,PA
1596,122.0,data engineer,other,5.0,0,,21,IT Services,Information Technology,Company - Private,51 to 200 employees,DE
1597,122.0,data scientist,other,3.7,0,,169,Health Care Services & Hospitals,Health Care,Nonprofit Organization,1001 to 5000 employees,PA
1598,122.0,analyst,senior,2.3,0,,21,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Other Organization,1001 to 5000 employees,PA
1599,122.0,data scientist,other,3.5,0,,78,Sports & Recreation,"Arts, Entertainment & Recreation",Subsidiary or Business Segment,201 to 500 employees,NJ
1600,122.0,data scientist,other,3.8,0,,-1,Architectural & Engineering Services,Business Services,Company - Private,51 to 200 employees,PA
1601,122.0,data scientist,other,3.6,0,,61,-1,-1,Company - Public,10000+ employees,PA
1602,122.0,data scientist,other,4.3,0,,284,Colleges & Universities,Education,College / University,10000+ employees,PA
1603,122.0,data scientist,other,3.7,0,,-1,"Health, Beauty, & Fitness",Consumer Services,Company - Private,51 to 200 employees,PA
1604,122.0,data scientist,other,4.2,0,,22,Computer Hardware & Software,Information Technology,Company - Private,1 to 50 employees,PA
1605,122.0,data scientist,other,4.5,0,,7,Sports & Recreation,"Arts, Entertainment & Recreation",Company - Private,201 to 500 employees,NJ
1606,122.0,data scientist,other,4.7,0,,26,IT Services,Information Technology,Subsidiary or Business Segment,51 to 200 employees,PA
